Survey.series,Deployment.date,Recovery.date,Sampling.Note,Sampled.Fish.Number,Cage.Number,Fish.Length.mm,Fish.Weight.g,Fish.Species,HEAD_OPER,MOUTH_GILLS,ANT.DORS,POST.DORS,ANT.VENT,POST.VENT,DORSAL,PECTORAL,PELVIC,ANAL,ADIPOSE,CAUDAL,BAG,BIN,TOTAL
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,27/05/2011,"* Cage 2, 3B and 5 deployed 19/05/2011 and all other cages on 12/05/2011 with delay in recovery to 27/05/2011 due to storms.",1,1,195,89.03,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,27/05/2011,"* Cage 2, 3B and 5 deployed 19/05/2011 and all other cages on 12/05/2011 with delay in recovery to 27/05/2011 due to storms.",2,1,175,74.18,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,27/05/2011,"* Cage 2, 3B and 5 deployed 19/05/2011 and all other cages on 12/05/2011 with delay in recovery to 27/05/2011 due to storms.",3,1,195,101.51,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,27/05/2011,"* Cage 2, 3B and 5 deployed 19/05/2011 and all other cages on 12/05/2011 with delay in recovery to 27/05/2011 due to storms.",4,1,200,80.91,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,27/05/2011,"* Cage 2, 3B and 5 deployed 19/05/2011 and all other cages on 12/05/2011 with delay in recovery to 27/05/2011 due to storms.",5,1,190,83.18,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,27/05/2011,"* Cage 2, 3B and 5 deployed 19/05/2011 and all other cages on 12/05/2011 with delay in recovery to 27/05/2011 due to storms.",6,1,225,109.78,Salmon,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,27/05/2011,"* Cage 2, 3B and 5 deployed 19/05/2011 and all other cages on 12/05/2011 with delay in recovery to 27/05/2011 due to storms.",7,1,215,106.07,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,27/05/2011,"* Cage 2, 3B and 5 deployed 19/05/2011 and all other cages on 12/05/2011 with delay in recovery to 27/05/2011 due to storms.",8,1,200,87,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,27/05/2011,"* Cage 2, 3B and 5 deployed 19/05/2011 and all other cages on 12/05/2011 with delay in recovery to 27/05/2011 due to storms.",9,1,190,87.29,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,27/05/2011,"* Cage 2, 3B and 5 deployed 19/05/2011 and all other cages on 12/05/2011 with delay in recovery to 27/05/2011 due to storms.",10,1,203,75.63,Salmon,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,27/05/2011,"* Cage 2, 3B and 5 deployed 19/05/2011 and all other cages on 12/05/2011 with delay in recovery to 27/05/2011 due to storms.",11,1,210,112.57,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,26/10/2011,01/11/2011,Cage was sunk from view and could not be recovered.,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loch Linnhe Sea Lice Settlement Experiment,01/11/2011,09/11/2011,Cage appeared to have been struck by ship and dragged down loch - all fish within cage killed.,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loch Linnhe Sea Lice Settlement Experiment,01/05/2012,08/05/2012,NA,1,1,226,83.22,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,01/05/2012,08/05/2012,NA,2,1,241,127.88,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,01/05/2012,08/05/2012,NA,3,1,226,99.54,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,01/05/2012,08/05/2012,NA,4,1,216,78.73,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,01/05/2012,08/05/2012,NA,5,1,218,96.3,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,01/05/2012,08/05/2012,NA,6,1,214,85.05,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,01/05/2012,08/05/2012,NA,7,1,231,103.93,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,01/05/2012,08/05/2012,NA,8,1,198,74.01,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,01/05/2012,08/05/2012,NA,9,1,209,84.21,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,01/05/2012,08/05/2012,NA,10,1,211,90.93,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,01/05/2012,08/05/2012,NA,11,1,211,94.3,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,01/05/2012,08/05/2012,NA,12,1,192,66.12,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,01/05/2012,08/05/2012,NA,13,1,199,68.81,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
