Site_id,lat,lon,Site_name
A-04,-6.666,62.131,Lambavík
A-05,-6.858,62.105,Undir Síðu
A-06,-6.750,61.989,Argjalandið
A-08,-7.114,62.101,Suðri í buð
A-11,-6.496,62.275,Hvannasund suður
A-12,-6.605,62.251,Kunoyarnes
A-13,-6.535,62.197,Borðoyarvík
A-14,-7.381,62.135,Vesturi á víkum
A-15,-6.763,61.541,Froðba
A-18,-6.728,61.497,Hovsfjørður ytra
A-19,-6.744,61.470,Undir Klyvunum út fyri Nes
A-21,-6.487,62.282,Hvannasund suður - Hvannasundsmegin
A-23,-6.880,61.611,Hvalba
A-25,-6.719,62.176,Gøtuvík suðursíðan
A-27,-7.157,62.044,Miðvágur
A-32,-7.071,62.259,Fossá
A-47,-6.709,62.188,Gøruvík norðursíðan
A-52,-6.849,62.269,Oyndarfjørður inni á fjørð
A-57,-6.787,62.222,Fuglafjørður
A-63,-6.500,62.234,Árnafjørður
A-71,-6.928,62.298,Funningsfjørður Líðin
A-72,-6.604,62.311,Haraldsund Norður
A-73,-6.555,62.338,Hvannasund Norður
A-80,-6.869,62.149,Selatrað
A-81,-6.806,62.112,Kolbeinagjógv
A-83,-7.385,62.079,Sørvágsfjøður ytra
A-85,-6.729,62.074,Undir Neslandinum
A-87,-7.088,62.282,Út fyri Haldórsvík
A-88,-7.166,62.143,Vestmanna
A-89,-6.843,61.974,Velbastað
A-90,-6.798,61.833,Sandsvág
A-92,-6.774,61.460,Vágur
