Count_date,AF,Site_id,count_fish
2019-03-20,0.00,A-04,1050560.45
2019-04-03,0.00,A-04,1392427.90
2019-05-01,0.00,A-04,1388879.19
2019-05-07,0.00,A-04,1388652.35
2019-05-15,0.04,A-04,1388349.90
2019-05-28,0.06,A-04,1387858.42
2019-06-12,0.06,A-04,1387269.00
2019-06-18,0.08,A-04,1387031.00
2019-06-26,0.06,A-04,1386713.67
2019-07-09,0.09,A-04,1386059.71
2019-07-23,0.15,A-04,1385289.26
2019-08-06,0.26,A-04,1384510.87
2019-08-20,0.32,A-04,1383721.90
2019-09-03,0.45,A-04,1382094.60
2019-09-18,0.18,A-04,1377057.60
2019-10-01,0.24,A-04,1372878.29
2019-10-15,0.57,A-04,1370782.35
2019-11-01,0.60,A-04,1368233.37
2019-11-12,0.54,A-04,1366543.40
2019-11-29,0.59,A-04,1363931.63
2019-12-12,0.38,A-04,1362043.03
2019-12-20,0.59,A-04,1360886.39
2020-01-10,1.27,A-04,1357160.19
2020-01-28,0.88,A-04,1353315.74
2020-02-04,0.87,A-04,1351035.00
2020-02-18,0.41,A-04,1345295.00
2020-03-20,0.95,A-04,1229512.74
2020-03-25,1.13,A-04,1201694.68
2020-03-31,1.44,A-04,1168313.00
2020-04-15,0.85,A-04,1157452.00
2020-04-28,0.20,A-04,1148039.13
2020-05-12,0.42,A-04,1143030.87
2020-05-26,0.49,A-04,1138877.39
2020-06-10,0.67,A-04,1061133.33
2020-06-23,0.64,A-04,961994.47
2020-07-07,0.76,A-04,782743.42
2020-07-21,2.01,A-04,531006.26
2020-08-04,0.50,A-04,305878.65
2020-12-16,0.00,A-04,1019270.23
2020-12-30,0.00,A-04,1401826.55
2021-01-13,0.00,A-04,1427386.94
2021-01-27,0.04,A-04,1425486.10
2021-02-10,0.09,A-04,1423416.93
2021-02-24,0.07,A-04,1421280.43
2021-03-11,0.07,A-04,1419092.03
2021-03-24,0.06,A-04,1417227.16
2021-04-07,0.07,A-04,1415675.60
2021-04-21,0.07,A-04,1414580.80
2021-05-05,0.07,A-04,1413512.81
2021-05-19,0.18,A-04,1412493.06
2021-06-02,0.36,A-04,1411488.73
2021-06-16,0.46,A-04,1410576.87
2021-06-30,0.64,A-04,1409665.00
2021-07-14,0.17,A-04,1402914.29
2021-07-23,0.41,A-04,1398574.55
2021-08-06,0.81,A-04,1392337.71
2021-08-20,0.25,A-04,1386786.03
2021-09-01,0.78,A-04,1381362.60
2021-09-15,1.56,A-04,1366503.00
2021-09-29,0.44,A-04,1351643.40
2021-10-13,1.36,A-04,1319268.35
2021-10-27,0.32,A-04,1285545.97
2021-11-10,1.24,A-04,1265710.67
2021-11-24,0.62,A-04,1251430.20
2021-12-02,7.78,A-04,1222062.84
2021-12-10,1.24,A-04,1129074.19
2021-12-22,2.35,A-04,989591.23
2022-01-05,1.88,A-04,742240.45
2022-01-14,2.08,A-04,485311.06
2022-08-04,0.00,A-04,705739.61
2022-08-18,0.00,A-04,1031238.26
2022-09-01,0.00,A-04,1333366.93
2022-09-08,0.01,A-04,1332526.47
2022-09-15,0.04,A-04,1331686.00
2022-09-22,0.08,A-04,1330845.53
2022-09-29,0.12,A-04,1330005.07
2022-10-13,0.26,A-04,1328680.19
2022-10-27,0.25,A-04,1327382.71
