Survey.series,Deployment.date,Recovery.date,Sampling.Note,Sampled.Fish.Number,Cage.Number,Fish.Length.mm,Fish.Weight.g,Fish.Species,HEAD_OPER,MOUTH_GILLS,ANT.DORS,POST.DORS,ANT.VENT,POST.VENT,DORSAL,PECTORAL,PELVIC,ANAL,ADIPOSE,CAUDAL,BAG,BIN,TOTAL
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",1,2,190,75.88,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",2,2,195,79.11,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",3,2,206,95.24,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",4,2,215,99.01,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",5,2,205,88.64,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",6,2,192,79.61,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",7,2,180,60.01,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",8,2,175,53.73,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",9,2,219,109.01,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",10,2,182,77.94,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",11,2,184,70.01,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",12,2,172,65.81,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",13,2,195,80.89,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",14,2,185,79.99,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",15,2,192,76.03,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",16,2,199,81.28,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",17,2,177,58.64,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",18,2,203,92.37,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",19,2,185,58.79,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",20,2,208,89.36,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",21,2,188,85.35,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",22,2,177,48.18,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",23,2,193,72.01,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",24,2,193,77.4,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",25,2,195,77.71,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",26,2,200,84.92,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",27,2,201,74.43,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",28,2,191,70.93,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",29,2,189,61.6,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",30,2,196,77.06,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",31,2,198,83.63,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",32,2,212,108.06,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",33,2,218,86.94,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",34,2,198,86.3,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",35,2,196,66.36,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",36,2,210,107.16,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",37,2,180,62.3,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",38,2,189,78.62,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,19/05/2011,"* Cage 2, 3B and 5 deployed 12/05/2011 and recovered 19/05/2011 with storm conditions making further recovery impossible.",39,2,213,104.47,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
