Survey.Series,Cage.number,Site.name,Year,Cage.Lat.DDM,Cage.Long.DDM,Depth.m,Cage.X.DD,Cage.Y.DD,NGR,Cage.easting,Cage.northing
Loch Linnhe Sea Lice Settlement Experiment,1,Head of Loch Linnhe (Corpach),2011-2013,56o 50.184N,5o 06.721W,8,-5.11201667,56.8364,NN 10252 75979,210252.732,775979.449
Loch Linnhe Sea Lice Settlement Experiment,2,North of the Corran narrows,2011-2013,56o 44.143N,5o 14.949W,12,-5.24915,56.73571667,NN 01358 65168,201358.374,765168.135
Loch Linnhe Sea Lice Settlement Experiment,4,Ballachuish Bay (off from Onich hotel),2011-2013,56o 42.032N,5o 12.783W,20,-5.21305,56.70053333,NN 03381 61149,203381.859,761149.976
Loch Linnhe Sea Lice Settlement Experiment,5,Inversanda Bay,2011-2013,56o 40.992N,5o 20.919W,7,-5.34865,56.6832,NM 94989 59619,194989.2,759619.483
Loch Linnhe Sea Lice Settlement Experiment,6,Cuil Bay,2011-2013,56o 38.876N,5o 19.122W,16,-5.3187,56.64793333,NM 96632 55607,196632.773,755607.136
Loch Linnhe Sea Lice Settlement Experiment,3b,West of Sallachan point,2011-2013,56o 42.292N,5o 17.684W,12,-5.29473333,56.709,NM 98406 619,198400,761900
Loch Linnhe Sea Lice Settlement Experiment,8,Loch aChoire (east of Kingarloch),2011-2013,56o 36.546N,5o 30.021W,17,-5.50035,56.6091,NM 85280 51841,185280.597,751841.779
Loch Linnhe Sea Lice Settlement Experiment,9,Camas Nathais,2011-2013,56o 28.959N,5o 27.667W,13,-5.46111667,56.48265,NM 86977 37654,186977.351,737654.238
Loch Linnhe Sea Lice Settlement Experiment,10,Rubha aMhothair,2011-2013,56o 30.841N,5o 37.955W,9 to 22,-5.63258333,56.51401667,NM 76609 41688,176609.191,741688.446
Loch Linnhe Sea Lice Settlement Experiment,3a,South of the Corran narrows,2011,56o 42.900N,5o 15.660W,8,-5.261,56.715,NN 00524 62898,200524.055,762898.006
Loch Linnhe Sea Lice Settlement Experiment,7,Shuna Island,2011,56o 35.254N,5o 22.98W,12,-5.383,56.58756667,NM 92360 49084,192360.885,749084.927
